29.05.2018 16.15.27
============================================
Z    Bx   By   Bz   Dz   
============================================
98 +0000.0 +0001.5 -0001.0 99
99 +0000.0 +0001.5 -0000.5 100
100 +0000.0 +0001.5 -0000.5 101
101 +0000.0 +0000.0 -0000.5 102
102 +0000.0 +0000.0 -0000.5 103
103 +0000.0 +0001.0 +0000.0 104
104 +0000.0 +0001.0 -0001.0 105
105 +0000.0 +0001.5 -0000.5 106
106 +0000.0 +0002.0 +0000.0 107
107 +0000.0 +0001.0 -0001.5 108
108 +0000.0 +0000.0 -0001.0 109
109 +0000.0 +0000.5 +0000.0 110
110 -0059.5 +0010.5 -0005.5 111
111 -0169.0 +0044.5 +0006.0 112
112 -0304.0 +0110.5 +0114.5 113
113 -1055.5 +0162.5 +0352.5 114
114 -1871.0 +0104.5 +0441.0 115
115 -1893.0 -0262.0 -0173.0 116
116 -1557.5 -0100.0 +0392.5 117
117 -0721.5 +0450.5 +1471.0 118
118 -0072.5 +0800.5 +1399.5 119
119 +0000.0 +0005.0 -0003.0 120
120 +0000.0 +0001.5 +0000.0 121
121 +0000.0 +0000.5 +0000.0 122
122 +0000.0 +0001.5 -0001.0 123
123 -0039.0 +0016.0 -0007.0 124
124 -0183.5 +0063.5 -0009.0 125
125 -0384.5 +0203.5 +0126.5 126
126 -1041.0 +0217.5 +0402.5 127
127 -1593.5 +0710.5 +1888.5 128
128 -1801.0 +0621.0 +1643.0 129
129 -0898.5 +0284.5 +0829.5 130
130 +0031.0 +0382.5 +0381.0 131
131 +0000.0 +0004.0 -0002.0 132
