10.07.2017 13.39.52
============================================
Z    Bx   By   Bz   Dz   
============================================
0 +0627.5 +0080.5 -0400.0 1
1 +0627.5 +0081.0 -0400.5 2
2 +0628.5 +0082.5 -0401.5 3
3 +0628.0 +0081.5 -0401.0 4
4 +0627.5 +0080.5 -0400.5 5
5 +0628.5 +0081.5 -0400.0 6
6 +0629.5 +0082.0 -0400.5 7
7 +0628.5 +0082.5 -0401.0 8
8 +0628.0 +0083.0 -0401.0 9
9 +0629.0 +0083.0 -0401.0 10
