DATE	TIME	B1	B2	B3	B4	B5	B6	B7	B8	U1	U2	U3	U4	U5	U6	U7	U8
23.01.2018	9:35:26	-145,388	-513,526	13,121	-5,892	2,849	-1,514	-7,407	-18,776	-11049,5	-39028,0	997,2	-447,8	216,5	-115,1	-562,9	-1427,0
23.01.2018	9:35:30	-145,367	-513,454	6,559	-4,501	3,568	-0,946	-8,093	-18,614	-11047,9	-39022,5	498,5	-342,1	271,2	-71,9	-615,1	-1414,7
23.01.2018	9:35:33	-145,362	-513,472	4,463	-7,325	3,583	-0,953	-8,059	-18,559	-11047,5	-39023,9	339,2	-556,7	272,3	-72,4	-612,5	-1410,5
23.01.2018	9:35:36	-145,367	-513,472	10,947	-7,546	3,438	-0,949	-8,051	-18,620	-11047,9	-39023,9	832,0	-573,5	261,3	-72,1	-611,9	-1415,1
23.01.2018	9:35:40	-145,367	-513,472	9,243	-5,167	3,392	-0,864	-8,125	-18,572	-11047,9	-39023,9	702,5	-392,7	257,8	-65,7	-617,5	-1411,5
23.01.2018	9:35:43	-145,366	-513,472	3,714	-5,212	3,559	-1,017	-8,029	-18,576	-11047,8	-39023,9	282,3	-396,1	270,5	-77,3	-610,2	-1411,8
23.01.2018	9:35:46	-145,367	-513,472	1,946	-7,247	3,470	-0,959	-8,025	-18,661	-11047,9	-39023,9	147,9	-550,8	263,7	-72,9	-609,9	-1418,2
23.01.2018	9:35:49	-145,362	-513,474	5,678	-8,059	3,507	-0,920	-7,942	-18,750	-11047,5	-39024,0	431,5	-612,5	266,5	-69,9	-603,6	-1425,0
23.01.2018	9:35:52	-145,367	-513,476	8,316	-6,941	3,399	-0,875	-7,968	-18,649	-11047,9	-39024,2	632,0	-527,5	258,3	-66,5	-605,6	-1417,3
23.01.2018	9:35:55	-145,361	-513,457	4,584	-4,307	3,412	-0,951	-7,939	-18,780	-11047,4	-39022,7	348,4	-327,3	259,3	-72,3	-603,4	-1427,3
23.01.2018	9:35:59	-145,367	-513,461	-8,222	-5,237	3,378	-0,861	-7,937	-18,725	-11047,9	-39023,0	-624,9	-398,0	256,7	-65,4	-603,2	-1423,1
23.01.2018	9:36:02	-145,366	-513,484	-7,242	-6,997	3,312	-1,082	-8,038	-18,753	-11047,8	-39024,8	-550,4	-531,8	251,7	-82,2	-610,9	-1425,2
23.01.2018	9:36:05	-145,361	-513,482	-2,521	-8,191	3,413	-0,872	-7,737	-18,804	-11047,4	-39024,6	-191,6	-622,5	259,4	-66,3	-588,0	-1429,1
23.01.2018	9:36:08	-145,361	-513,482	-2,521	-8,191	3,413	-0,872	-7,737	-18,804	-11047,4	-39024,6	-191,6	-622,5	259,4	-66,3	-588,0	-1429,1
23.01.2018	9:36:11	-145,361	-513,484	-2,676	-5,355	3,497	-0,951	-7,893	-18,738	-11047,4	-39024,8	-203,4	-407,0	265,8	-72,3	-599,9	-1424,1
23.01.2018	9:36:14	-145,366	-513,486	-6,795	-5,218	3,445	-0,909	-7,778	-18,850	-11047,8	-39024,9	-516,4	-396,6	261,8	-69,1	-591,1	-1432,6
23.01.2018	9:36:17	-145,366	-513,487	-9,038	-5,664	3,396	-0,853	-7,757	-18,807	-11047,8	-39025,0	-686,9	-430,5	258,1	-64,8	-589,5	-1429,3
23.01.2018	9:36:20	-145,361	-513,487	-8,497	-8,197	3,482	-0,880	-7,817	-18,726	-11047,4	-39025,0	-645,8	-623,0	264,6	-66,9	-594,1	-1423,2
23.01.2018	9:36:23	-145,361	-513,471	-3,534	-8,643	3,454	-0,845	-7,817	-18,722	-11047,4	-39023,8	-268,6	-656,9	262,5	-64,2	-594,1	-1422,9
23.01.2018	9:36:26	-145,366	-513,491	-2,618	-7,118	3,262	-0,830	-7,849	-18,949	-11047,8	-39025,3	-199,0	-541,0	247,9	-63,1	-596,5	-1440,1
23.01.2018	9:36:29	-145,364	-513,474	-5,966	-4,617	3,314	-0,920	-7,705	-18,283	-11047,7	-39024,0	-453,4	-350,9	251,9	-69,9	-585,6	-1389,5
23.01.2018	9:36:32	-145,364	-513,492	-10,700	-6,629	3,186	-0,816	-7,686	-18,795	-11047,7	-39025,4	-813,2	-503,8	242,1	-62,0	-584,1	-1428,4
23.01.2018	9:36:35	-145,361	-513,476	-10,316	-7,221	3,314	-0,868	-7,747	-18,788	-11047,4	-39024,2	-784,0	-548,8	251,9	-66,0	-588,8	-1427,9
23.01.2018	9:36:38	-145,364	-513,478	-6,350	-8,428	3,346	-0,782	-7,691	-18,855	-11047,7	-39024,3	-482,6	-640,5	254,3	-59,4	-584,5	-1433,0
23.01.2018	9:36:41	-145,361	-513,480	-3,625	-7,530	3,399	-0,813	-7,741	-18,786	-11047,4	-39024,5	-275,5	-572,3	258,3	-61,8	-588,3	-1427,7
