DATE	TIME	B1	B2	B3	B4	B5	B6	B7	B8	U1	U2	U3	U4	U5	U6	U7	U8
23.01.2018	9:45:27	-145,363	-513,526	-3,320	-7,337	3,268	-0,643	-7,408	-18,812	-11047,6	-39028,0	-252,3	-557,6	248,4	-48,9	-563,0	-1429,7
23.01.2018	9:45:30	-145,357	-513,525	-7,305	-6,232	3,179	-0,792	-7,436	-18,872	-11047,1	-39027,9	-555,2	-473,6	241,6	-60,2	-565,1	-1434,3
23.01.2018	9:45:33	-145,362	-513,526	-7,247	-1,104	3,053	-0,626	-7,547	-18,807	-11047,5	-39028,0	-550,8	-83,9	232,0	-47,6	-573,6	-1429,3
23.01.2018	9:45:36	-145,363	-513,526	-3,849	-0,720	3,070	-0,713	-7,595	-18,839	-11047,6	-39028,0	-292,5	-54,7	233,3	-54,2	-577,2	-1431,8
23.01.2018	9:45:39	-145,363	-513,526	-3,849	-0,720	3,070	-0,713	-7,595	-18,839	-11047,6	-39028,0	-292,5	-54,7	233,3	-54,2	-577,2	-1431,8
23.01.2018	9:45:42	-145,362	-513,507	-0,595	-1,382	3,162	-0,737	-7,588	-18,899	-11047,5	-39026,5	-45,2	-105,0	240,3	-56,0	-576,7	-1436,3
23.01.2018	9:45:46	-145,361	-513,526	0,684	-0,461	2,883	-0,705	-7,393	-18,837	-11047,4	-39028,0	52,0	-35,0	219,1	-53,6	-561,9	-1431,6
23.01.2018	9:45:49	-145,357	-513,525	-6,714	-0,038	3,359	-0,684	-7,533	-18,857	-11047,1	-39027,9	-510,3	-2,9	255,3	-52,0	-572,5	-1433,1
23.01.2018	9:45:53	-145,362	-513,522	-7,336	-0,870	6,432	-0,745	-7,520	-18,746	-11047,5	-39027,7	-557,5	-66,1	488,8	-56,6	-571,5	-1424,7
23.01.2018	9:45:56	-145,361	-513,503	-4,558	-1,924	6,455	-0,684	-7,543	-18,822	-11047,4	-39026,2	-346,4	-146,2	490,6	-52,0	-573,3	-1430,5
