DATE	TIME	B1	B2	B3	B4	B5	B6	B7	B8	U1	U2	U3	U4	U5	U6	U7	U8
23.01.2018	9:51:08	-145,364	-513,329	-2,945	-7,186	2,916	-0,672	-7,453	-18,792	-11047,7	-39013,0	-223,8	-546,1	221,6	-51,1	-566,4	-1428,2
23.01.2018	9:51:11	-145,362	-513,326	-1,357	-6,859	3,074	-0,649	-7,459	-18,742	-11047,5	-39012,8	-103,1	-521,3	233,6	-49,3	-566,9	-1424,4
23.01.2018	9:51:14	-145,363	-513,324	-2,164	-8,988	3,083	-0,714	-7,458	-18,761	-11047,6	-39012,6	-164,5	-683,1	234,3	-54,3	-566,8	-1425,8
23.01.2018	9:51:17	0,005	-513,301	1,871	-8,939	3,307	-0,657	-7,467	-18,892	0,4	-39010,9	142,2	-679,4	251,3	-49,9	-567,5	-1435,8
23.01.2018	9:51:20	0,005	-513,320	2,868	-6,118	3,338	-0,680	-7,518	-18,862	0,4	-39012,3	218,0	-465,0	253,7	-51,7	-571,4	-1433,5
23.01.2018	9:51:24	-0,001	-513,320	-3,671	-6,088	3,075	-0,738	-7,433	-18,800	-0,1	-39012,3	-279,0	-462,7	233,7	-56,1	-564,9	-1428,8
23.01.2018	9:51:27	0,000	-513,318	-4,578	-8,601	3,188	-0,687	-7,438	-18,821	0,0	-39012,2	-347,9	-653,7	242,3	-52,2	-565,3	-1430,4
23.01.2018	9:51:31	0,001	-513,318	-1,214	-9,201	-0,013	-0,746	-7,575	-18,834	0,1	-39012,2	-92,3	-699,3	-1,0	-56,7	-575,7	-1431,4
23.01.2018	9:51:34	0,001	-513,314	2,091	-7,979	-0,084	-0,680	-7,496	-18,803	0,1	-39011,9	158,9	-606,4	-6,4	-51,7	-569,7	-1429,0
