DATE	TIME	B1	B2	B3	B4	B5	B6	B7	B8	U1	U2	U3	U4	U5	U6	U7	U8
03.02.2020	12:50:31	1.918	4.979	8.426	13.775	27.953	35.095	43.954	66.309	145.8	378.4	640.4	1046.9	2124.4	2667.2	3340.5	5039.5
03.02.2020	12:50:34	13.116	35.687	63.182	108.075	195.716	257.264	337.017	530.351	996.8	2712.2	4801.8	8213.7	14874.4	19552.1	25613.3	40306.7
03.02.2020	12:50:37	13.116	35.686	63.180	107.914	195.717	257.387	337.021	530.486	996.8	2712.1	4801.7	8201.5	14874.5	19561.4	25613.6	40316.9
03.02.2020	12:50:40	13.117	35.684	63.184	108.076	195.718	257.387	337.020	530.353	996.9	2712.0	4802.0	8213.8	14874.6	19561.4	25613.5	40306.8
03.02.2020	12:50:43	13.116	35.686	63.189	107.914	195.607	257.383	337.024	530.489	996.8	2712.1	4802.4	8201.5	14866.1	19561.1	25613.8	40317.2
03.02.2020	12:50:46	13.116	35.684	63.205	108.076	195.605	257.382	336.917	530.355	996.8	2712.0	4803.6	8213.8	14866.0	19561.0	25605.7	40307.0
03.02.2020	12:50:49	13.114	35.692	63.193	108.076	195.604	257.263	337.024	530.358	996.7	2712.6	4802.7	8213.8	14865.9	19552.0	25613.8	40307.2
03.02.2020	12:50:52	13.112	35.691	63.217	107.914	195.711	257.383	336.916	530.492	996.5	2712.5	4804.5	8201.5	14874.0	19561.1	25605.6	40317.4
03.02.2020	12:50:55	13.109	35.693	63.209	107.916	195.712	257.386	337.024	530.496	996.3	2712.7	4803.9	8201.6	14874.1	19561.3	25613.8	40317.7
03.02.2020	12:50:58	13.111	35.689	63.201	107.914	195.713	257.386	337.025	530.496	996.4	2712.4	4803.3	8201.5	14874.2	19561.3	25613.9	40317.7
03.02.2020	12:51:01	13.111	35.692	63.209	107.914	195.712	257.386	337.025	530.497	996.4	2712.6	4803.9	8201.5	14874.1	19561.3	25613.9	40317.8
03.02.2020	12:51:04	13.109	35.692	63.229	107.914	195.712	257.388	336.917	530.497	996.3	2712.6	4805.4	8201.5	14874.1	19561.5	25605.7	40317.8
03.02.2020	12:51:07	13.111	35.696	63.217	107.914	195.605	257.271	337.025	530.496	996.4	2712.9	4804.5	8201.5	14866.0	19552.6	25613.9	40317.7
03.02.2020	12:51:10	13.111	35.696	63.209	108.075	195.712	257.268	337.022	530.362	996.4	2712.9	4803.9	8213.7	14874.1	19552.4	25613.7	40307.5
03.02.2020	12:51:13	13.112	35.693	63.228	107.914	195.604	257.391	336.914	530.497	996.5	2712.7	4805.3	8201.5	14865.9	19561.7	25605.5	40317.8
03.02.2020	12:51:16	13.109	35.696	63.221	107.914	195.714	257.395	337.025	530.499	996.3	2712.9	4804.8	8201.5	14874.3	19562.0	25613.9	40317.9
03.02.2020	12:51:19	13.108	35.692	63.230	108.076	195.712	257.392	336.913	530.364	996.2	2712.6	4805.5	8213.8	14874.1	19561.8	25605.4	40307.7
