ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
06.11.2019	11:24:40	0.00	9.13	15.42	13.79	0.00	19.62
06.11.2019	11:24:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.12	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.12	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.12	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.12	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:41	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:42	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:24:43	7.94	9.13	15.42	13.79	14.11	19.62
