ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
06.11.2019	11:38:00	2464673.77	4439163.57	1491394.11	-179292724.68	1343719.86	392113.91
06.11.2019	11:38:00	126305.63	228638.95	89727.11	-1805475.78	79902.81	41310.26
06.11.2019	11:38:00	14407.63	24944.84	12236.34	-90814.43	10813.61	9909.03
06.11.2019	11:38:00	2916.87	4577.06	2897.54	-6791.31	2546.93	3476.01
06.11.2019	11:38:00	918.15	1298.51	1016.96	113.42	891.78	1493.68
06.11.2019	11:38:00	384.13	511.03	461.04	528.51	404.69	729.65
06.11.2019	11:38:00	188.32	245.51	244.88	363.29	215.17	390.65
06.11.2019	11:38:00	101.43	131.88	143.85	220.08	126.61	224.71
06.11.2019	11:38:00	58.61	76.14	90.79	133.71	80.16	137.43
06.11.2019	11:38:01	36.10	46.59	60.69	84.21	53.78	88.76
06.11.2019	11:38:01	23.74	30.15	42.60	55.62	37.95	60.26
06.11.2019	11:38:01	16.66	20.68	31.26	38.60	28.02	42.86
06.11.2019	11:38:01	12.42	15.00	23.87	28.10	21.54	31.82
06.11.2019	11:38:01	9.74	11.45	18.89	21.37	17.17	24.56
06.11.2019	11:38:01	7.94	9.12	15.42	16.89	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:02	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:03	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:04	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:05	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:06	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:38:07	7.94	9.12	15.42	13.79	14.11	19.63
