ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
06.11.2019	11:29:54	2465375.01	4449226.71	1491394.11	-178742397.29	1344088.26	392855.33
06.11.2019	11:29:54	126280.28	228685.13	89626.53	-1805475.78	79917.81	41321.70
06.11.2019	11:29:55	14418.38	24975.82	12233.04	-90717.83	10820.95	9917.56
06.11.2019	11:29:55	2916.55	4578.67	2898.39	-6775.12	2547.43	3477.30
06.11.2019	11:29:55	918.44	1298.51	1016.67	113.90	892.30	1493.95
06.11.2019	11:29:55	384.25	511.26	461.15	528.39	404.89	729.92
06.11.2019	11:29:55	188.31	245.50	244.88	363.06	215.19	390.67
06.11.2019	11:29:55	101.46	131.90	143.82	219.99	126.66	224.76
06.11.2019	11:29:55	58.61	76.16	90.79	133.62	80.17	137.48
06.11.2019	11:29:55	36.10	46.59	60.68	84.19	53.78	88.77
06.11.2019	11:29:55	23.74	30.16	42.60	55.60	37.96	60.28
06.11.2019	11:29:55	16.66	20.68	31.26	38.58	28.03	42.87
06.11.2019	11:29:55	12.42	15.00	23.87	28.09	21.55	31.82
06.11.2019	11:29:55	9.74	11.45	18.89	21.36	17.17	24.56
06.11.2019	11:29:55	7.94	9.12	15.42	16.88	14.11	19.62
06.11.2019	11:29:55	7.94	9.12	15.42	13.79	14.12	19.62
06.11.2019	11:29:55	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:29:56	7.94	9.12	15.42	13.79	14.11	19.63
06.11.2019	11:29:57	7.94	9.12	15.42	13.79	14.11	19.62
