ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
06.11.2019	11:23:19	2461170.91	4439163.57	1493433.76	-179292724.68	1340776.76	392299.10
06.11.2019	11:23:19	126356.36	228777.53	89727.11	-1808500.45	79887.82	41344.58
06.11.2019	11:23:19	14403.33	24979.70	12249.58	-90737.14	10800.41	9918.51
06.11.2019	11:23:19	2915.29	4578.67	2897.82	-6794.25	2544.19	3477.04
06.11.2019	11:23:19	918.22	1299.52	1017.18	113.17	891.40	1494.69
06.11.2019	11:23:19	384.01	511.26	461.33	528.45	404.41	729.81
06.11.2019	11:23:19	188.33	245.52	244.94	363.24	215.09	390.64
06.11.2019	11:23:19	101.45	131.93	143.92	219.99	126.59	224.76
06.11.2019	11:23:19	58.60	76.15	90.82	133.65	80.13	137.42
06.11.2019	11:23:19	36.11	46.60	60.70	84.20	53.77	88.77
06.11.2019	11:23:19	23.74	30.17	42.61	55.60	37.94	60.27
06.11.2019	11:23:19	16.66	20.68	31.26	38.60	28.01	42.86
06.11.2019	11:23:19	12.42	15.00	23.88	28.10	21.54	31.82
06.11.2019	11:23:20	9.74	11.45	18.89	21.37	17.17	24.56
06.11.2019	11:23:20	7.94	9.13	15.42	16.89	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:23:20	7.94	9.13	15.42	13.79	14.11	19.62
