ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:19	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:20	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:20	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:20	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:20	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:20	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:20	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:20	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:20	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:21	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:22	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:23	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:24	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:25	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:26	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:26	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:26	7.95	9.13	15.43	13.79	14.12	19.63
06.11.2019	11:06:26	7.95	9.13	15.43	13.79	14.12	19.63
