ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
06.11.2019	11:20:14	2460471.00	4442934.26	1491394.11	-179568615.75	1340409.39	392299.10
06.11.2019	11:20:14	126254.94	229008.72	89676.80	-1810014.91	79812.88	41356.03
06.11.2019	11:20:14	14392.59	24987.45	12241.30	-90853.10	10794.55	9917.56
06.11.2019	11:20:14	2914.97	4580.28	2897.54	-6800.15	2544.19	3477.04
06.11.2019	11:20:15	918.08	1299.63	1017.25	112.93	891.33	1494.32
06.11.2019	11:20:15	384.08	511.19	461.27	528.48	404.53	729.65
06.11.2019	11:20:15	188.36	245.56	244.95	363.29	215.15	390.64
06.11.2019	11:20:15	101.44	131.93	143.91	220.05	126.60	224.78
06.11.2019	11:20:15	58.60	76.16	90.81	133.70	80.14	137.46
06.11.2019	11:20:15	36.10	46.61	60.69	84.23	53.78	88.80
06.11.2019	11:20:15	23.74	30.17	42.61	55.63	37.95	60.28
06.11.2019	11:20:15	16.66	20.68	31.26	38.61	28.02	42.87
06.11.2019	11:20:15	12.42	15.00	23.88	28.10	21.54	31.83
06.11.2019	11:20:15	9.74	11.45	18.89	21.37	17.17	24.56
06.11.2019	11:20:15	7.95	9.13	15.42	16.89	14.11	19.63
06.11.2019	11:20:15	7.95	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:20:15	7.95	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:20:15	7.95	9.13	15.42	13.79	14.11	19.63
06.11.2019	11:20:15	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:20:16	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:20:16	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:20:16	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:20:16	7.95	9.13	15.43	13.79	14.11	19.63
06.11.2019	11:20:16	7.95	9.13	15.43	13.79	14.11	19.62
06.11.2019	11:20:16	7.95	9.13	15.43	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.43	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.43	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.43	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.43	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:16	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.95	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.95	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.95	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.95	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.95	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:20:17	7.94	9.13	15.42	13.79	14.11	19.62
