ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
05.02.2018	16:54:30	1057372111,58	6602336765518309630000000,00	80023,13	868,57	39,07	21,15
05.02.2018	16:54:30	1056036979,73	8434989043335563420000000,00	79960,90	869,82	39,06	21,07
05.02.2018	16:54:30	1060048203,64	2210746537893236450000000,00	79588,64	870,67	39,20	21,06
05.02.2018	16:54:30	1064076960,63	535119665175177297000000,00	79786,94	867,49	39,20	21,13
05.02.2018	16:54:30	1064076960,63	339161543597775213000000,00	79836,60	867,32	39,05	21,11
05.02.2018	16:54:30	1062060385,08	3344620066834900650000000,00	79452,63	872,55	39,06	21,09
05.02.2018	16:54:30	1060048203,64	214154024539081565000000000,00	79378,55	872,61	39,13	21,15
05.02.2018	16:54:30	1061389170,23	1815858779667030470000000,00	79898,72	868,85	39,07	21,15
05.02.2018	16:54:30	1056036979,73	535119665175177297000000,00	80010,68	869,87	39,06	21,07
05.02.2018	16:54:30	1057372111,58	1043124112528739980000000,00	79749,72	871,07	39,21	21,07
05.02.2018	16:54:30	1057372111,58	1815858779667030470000000,00	79911,15	868,11	39,21	21,14
05.02.2018	16:54:30	1055370140,94	6602336765518309630000000,00	79998,23	867,55	39,05	21,11
05.02.2018	16:54:31	1059378451,08	3344620066834900650000000,00	79477,34	872,55	39,08	21,09
05.02.2018	16:54:31	1057372111,58	10889281007912656400000000,00	79452,63	872,61	39,15	21,16
05.02.2018	16:54:31	1054703786,39	47402629337757360200000000,00	79936,02	868,91	39,07	21,16
05.02.2018	16:54:31	1056704303,14	8434989043335563420000000,00	79960,90	870,39	39,06	21,07
05.02.2018	16:54:31	1060718443,22	2709522383825851180000000,00	79675,33	870,95	39,20	21,07
05.02.2018	16:54:31	1059378451,08	2709522383825851180000000,00	79774,53	867,49	39,21	21,13
05.02.2018	16:54:31	1058709185,15	18796584854000059800000000,00	79911,15	867,83	39,06	21,10
05.02.2018	16:54:31	1060718443,22	910292756610642720000000000,00	79539,15	872,49	39,09	21,09
05.02.2018	16:54:31	1060048203,64	540051869560990340000000000,00	79551,52	871,69	39,16	21,15
05.02.2018	16:54:31	1057372111,58	4160319100793679440000000,00	79998,23	869,19	39,07	21,16
05.02.2018	16:54:31	1060048203,64	4160319100793679440000000,00	79762,12	871,12	39,05	21,08
05.02.2018	16:54:31	1064076960,63	3344620066834900650000000,00	79526,78	871,12	39,19	21,07
05.02.2018	16:54:31	1061389170,23	627995303060445315000000,00	79811,77	867,49	39,20	21,12
05.02.2018	16:54:31	1064750130,82	2210746537893236450000000,00	79886,29	867,32	39,07	21,10
05.02.2018	16:54:31	1066772582,08	66797188333908132800000000,00	79502,06	871,98	39,09	21,10
05.02.2018	16:54:31	1062060385,08	214154024539081565000000000,00	79477,34	871,98	39,14	21,17
05.02.2018	16:54:31	1059378451,08	25190047836006619500000000,00	79836,60	869,19	39,05	21,16
05.02.2018	16:54:31	1058040405,45	334078547280106838000000000,00	79712,51	871,07	39,04	21,07
05.02.2018	16:54:31	1061389170,23	910292756610642720000000000,00	79601,02	871,18	39,20	21,07
05.02.2018	16:54:31	1061389170,23	5217751461268953500000000,00	79973,34	868,00	39,20	21,13
05.02.2018	16:54:31	1057372111,58	14218192335029607100000000,00	80035,59	868,34	39,07	21,10
05.02.2018	16:54:31	1058040405,45	25190047836006619500000000,00	79502,06	871,81	39,10	21,09
05.02.2018	16:54:31	1062060385,08	3344620066834900650000000,00	79613,40	871,52	39,14	21,16
05.02.2018	16:54:31	1064750130,82	34269013977816500500000000,00	80035,59	869,53	39,04	21,17
05.02.2018	16:54:31	1062060385,08	96105017612010906200000000,00	79675,33	871,64	39,05	21,08
05.02.2018	16:54:31	1060048203,64	334078547280106838000000000,00	79539,15	871,98	39,22	21,08
05.02.2018	16:54:31	1061389170,23	141557424413430561000000000,00	79948,46	867,15	39,21	21,12
05.02.2018	16:54:31	1062732088,16	141557424413430561000000000,00	79973,34	866,76	39,08	21,09
05.02.2018	16:54:31	1058040405,45	6602336765518309630000000,00	79452,63	871,30	39,11	21,08
05.02.2018	16:54:31	1056036979,73	2709522383825851180000000,00	79403,23	870,95	39,15	21,16
05.02.2018	16:54:31	1056704303,14	25190047836006619500000000,00	79824,18	869,19	39,05	21,16
05.02.2018	16:54:31	1061389170,23	4160319100793679440000000,00	79700,12	871,24	39,04	21,08
05.02.2018	16:54:31	1061389170,23	8434989043335563420000000,00	79576,26	871,41	39,21	21,08
05.02.2018	16:54:31	1054037915,67	334078547280106838000000000,00	79923,59	867,72	39,21	21,12
05.02.2018	16:54:31	1056704303,14	18796584854000059800000000,00	79898,72	867,55	39,09	21,08
05.02.2018	16:54:31	1061389170,23	457878867157079221000000,00	79477,34	871,81	39,12	21,08
05.02.2018	16:54:31	1061389170,23	1815858779667030470000000,00	79514,42	871,41	39,14	21,16
05.02.2018	16:54:31	1060718443,22	34269013977816500500000000,00	79737,31	869,31	39,04	21,16
05.02.2018	16:54:31	1060048203,64	10889281007912656400000000,00	79650,55	871,18	39,05	21,09
05.02.2018	16:54:31	1063404279,87	214154024539081565000000000,00	79613,40	871,30	39,22	21,10
05.02.2018	16:54:31	1061389170,23	34570123715690859400000000000,00	79898,72	867,83	39,22	21,12
05.02.2018	16:54:31	1056036979,73	14218192335029607100000000,00	79861,44	867,49	39,09	21,08
05.02.2018	16:54:31	1058709185,15	1815858779667030470000000,00	79366,21	870,61	39,13	21,09
05.02.2018	16:54:31	1060718443,22	6602336765518309630000000,00	79415,58	870,27	39,17	21,17
05.02.2018	16:54:31	1058709185,15	34269013977816500500000000,00	79799,35	868,91	39,06	21,16
05.02.2018	16:54:31	1060718443,22	141557424413430561000000000,00	79749,72	871,30	39,04	21,08
05.02.2018	16:54:31	1059378451,08	8434989043335563420000000,00	79675,33	871,41	39,20	21,09
05.02.2018	16:54:31	1055370140,94	4160319100793679440000000,00	79948,46	867,15	39,20	21,13
05.02.2018	16:54:31	1060718443,22	10889281007912656400000000,00	79923,59	867,61	39,09	21,08
05.02.2018	16:54:31	1062060385,08	3344620066834900650000000,00	79452,63	871,47	39,14	21,07
05.02.2018	16:54:31	1058040405,45	457878867157079221000000,00	79588,64	870,33	39,16	21,16
05.02.2018	16:54:31	1060048203,64	131692964344391841000000,00	79861,44	869,25	39,04	21,16
05.02.2018	16:54:31	1065423790,86	1043124112528739980000000,00	79563,89	871,86	39,04	21,09
05.02.2018	16:54:31	1064750130,82	334078547280106838000000000,00	79464,98	872,43	39,21	21,10
05.02.2018	16:54:31	1060718443,22	66797188333908132800000000,00	79898,72	868,06	39,20	21,13
05.02.2018	16:54:31	1057372111,58	96105017612010906200000000,00	79998,23	867,10	39,09	21,08
05.02.2018	16:54:31	1052707624,15	910292756610642720000000000,00	79514,42	871,12	39,14	21,07
05.02.2018	16:54:31	1050715805,68	34269013977816500500000000,00	79427,93	870,39	39,16	21,16
05.02.2018	16:54:31	1049390334,62	5217751461268953500000000,00	79762,12	868,97	39,05	21,17
05.02.2018	16:54:31	1055370140,94	14218192335029607100000000,00	79650,55	871,86	39,04	21,09
05.02.2018	16:54:31	1057372111,58	66797188333908132800000000,00	79539,15	871,86	39,19	21,11
05.02.2018	16:54:31	1058040405,45	18796584854000059800000000,00	79973,34	867,38	39,20	21,14
05.02.2018	16:54:31	1064750130,82	10889281007912656400000000,00	80072,96	867,04	39,11	21,09
05.02.2018	16:54:31	1058709185,15	14218192335029607100000000,00	79563,89	870,33	39,16	21,08
05.02.2018	16:54:31	1052707624,15	14218192335029607100000000,00	79502,06	869,48	39,17	21,16
05.02.2018	16:54:31	1060718443,22	47402629337757360200000000,00	79861,44	868,45	39,03	21,16
05.02.2018	16:54:31	1062060385,08	10889281007912656400000000,00	79712,51	871,41	39,02	21,09
05.02.2018	16:54:31	1060718443,22	1247785964875017400000000,00	79675,33	871,30	39,18	21,11
05.02.2018	16:54:31	1058709185,15	6602336765518309630000000,00	80010,68	867,15	39,18	21,13
05.02.2018	16:54:31	1055370140,94	4160319100793679440000000,00	79923,59	867,95	39,09	21,08
05.02.2018	16:54:31	1056704303,14	14218192335029607100000000,00	79526,78	871,07	39,15	21,08
05.02.2018	16:54:31	1056036979,73	214154024539081565000000000,00	79588,64	869,14	39,16	21,17
05.02.2018	16:54:31	1054037915,67	18796584854000059800000000,00	79737,31	868,28	39,04	21,16
05.02.2018	16:54:31	1057372111,58	25190047836006619500000000,00	79477,34	871,64	39,05	21,09
05.02.2018	16:54:31	1060048203,64	2210746537893236450000000,00	79526,78	871,58	39,19	21,12
05.02.2018	16:54:31	1058040405,45	740228810577623716000000,00	80035,59	867,15	39,16	21,13
05.02.2018	16:54:31	1060718443,22	740228810577623716000000,00	79973,34	867,72	39,11	21,07
05.02.2018	16:54:31	1062732088,16	627995303060445315000000,00	79526,78	870,73	39,18	21,07
05.02.2018	16:54:31	1062060385,08	6602336765518309630000000,00	79576,26	869,65	39,18	21,16
05.02.2018	16:54:32	1062060385,08	334078547280106838000000000,00	79737,31	868,68	39,03	21,16
05.02.2018	16:54:32	1060718443,22	5217751461268953500000000,00	79601,02	871,47	39,03	21,10
05.02.2018	16:54:32	1063404279,87	339161543597775213000000,00	79563,89	872,61	39,16	21,12
05.02.2018	16:54:32	1062732088,16	10889281007912656400000000,00	80010,68	868,00	39,15	21,14
05.02.2018	16:54:32	1058709185,15	8434989043335563420000000,00	79985,79	866,98	39,09	21,07
05.02.2018	16:54:32	1060048203,64	293494354533674608000000,00	79526,78	870,04	39,18	21,06
05.02.2018	16:54:32	1060048203,64	2709522383825851180000000,00	79601,02	869,25	39,18	21,16
05.02.2018	16:54:32	1061389170,23	8434989043335563420000000,00	79774,53	868,28	39,03	21,16
05.02.2018	16:54:32	1062060385,08	2709522383825851180000000,00	79588,64	871,69	39,03	21,10
05.02.2018	16:54:32	1060048203,64	1500852850908934980000000,00	79563,89	872,55	39,16	21,12
05.02.2018	16:54:32	1059378451,08	25190047836006619500000000,00	79985,79	868,63	39,15	21,14
05.02.2018	16:54:32	1057372111,58	47402629337757360200000000,00	80048,04	868,11	39,10	21,07
05.02.2018	16:54:32	1058040405,45	3344620066834900650000000,00	79638,16	870,39	39,18	21,06
