ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
05.02.2018	17:08:44	1072187421,65	193989249824833621000000,00	79898,72	870,61	39,10	21,10
05.02.2018	17:08:45	1072187421,65	193989249824833621000000,00	79898,72	871,01	39,10	21,10
05.02.2018	17:08:45	1072187421,65	193989249824833621000000,00	79960,90	870,67	39,10	21,11
05.02.2018	17:08:46	1072187421,65	170016670397915332000000,00	80023,13	870,21	39,09	21,11
05.02.2018	17:08:47	1072187421,65	170016670397915332000000,00	79960,90	870,16	39,09	21,11
05.02.2018	17:08:48	1072187421,65	170016670397915332000000,00	79960,90	870,16	39,09	21,11
05.02.2018	17:08:49	1072187421,65	193989249824833621000000,00	79960,90	870,61	39,10	21,10
05.02.2018	17:08:50	1072187421,65	221998958359789498000000,00	79886,29	870,61	39,10	21,10
05.02.2018	17:08:50	1072187421,65	193989249824833621000000,00	79886,29	870,16	39,10	21,10
05.02.2018	17:08:51	1071508840,91	170016670397915332000000,00	79886,29	870,67	39,10	21,11
05.02.2018	17:08:52	1070830754,06	149429760266771240000000,00	79873,87	870,67	39,10	21,12
05.02.2018	17:08:53	1071508840,91	116364167830643166000000,00	79873,87	870,21	39,10	21,12
05.02.2018	17:08:54	1072187421,65	149429760266771240000000,00	79873,87	870,33	39,10	21,11
05.02.2018	17:08:55	1072187421,65	221998958359789498000000,00	79873,87	870,39	39,10	21,11
05.02.2018	17:08:55	1071508840,91	221998958359789498000000,00	79873,87	870,39	39,09	21,11
05.02.2018	17:08:56	1071508840,91	149429760266771240000000,00	79873,87	870,39	39,09	21,11
05.02.2018	17:08:57	1072187421,65	149429760266771240000000,00	79873,87	870,39	39,09	21,11
05.02.2018	17:08:58	1072187421,65	170016670397915332000000,00	79861,44	870,39	39,09	21,11
05.02.2018	17:08:59	1071508840,91	221998958359789498000000,00	79873,87	870,33	39,10	21,11
05.02.2018	17:09:00	1071508840,91	193989249824833621000000,00	79873,87	870,33	39,10	21,11
05.02.2018	17:09:00	1071508840,91	170016670397915332000000,00	79886,29	870,33	39,09	21,11
05.02.2018	17:09:01	1072187421,65	193989249824833621000000,00	79886,29	870,39	39,09	21,11
05.02.2018	17:09:02	1072187421,65	221998958359789498000000,00	79898,72	870,27	39,10	21,11
05.02.2018	17:09:03	1072187421,65	221998958359789498000000,00	79973,34	870,16	39,11	21,10
05.02.2018	17:09:04	1071508840,91	254841710542199041000000,00	80023,13	870,16	39,10	21,10
05.02.2018	17:09:05	1070830754,06	170016670397915332000000,00	79948,46	870,61	39,09	21,11
05.02.2018	17:09:05	1071508840,91	131692964344391841000000,00	79886,29	870,61	39,09	21,11
05.02.2018	17:09:06	1072187421,65	149429760266771240000000,00	79886,29	870,61	39,09	21,11
05.02.2018	17:09:07	1071508840,91	170016670397915332000000,00	79886,29	870,61	39,09	21,10
05.02.2018	17:09:08	1071508840,91	254841710542199041000000,00	79960,90	870,61	39,09	21,10
05.02.2018	17:09:09	1071508840,91	293494354533674608000000,00	79960,90	870,61	39,09	21,10
05.02.2018	17:09:10	1071508840,91	221998958359789498000000,00	79886,29	870,21	39,09	21,10
05.02.2018	17:09:11	1071508840,91	221998958359789498000000,00	79886,29	870,21	39,09	21,10
05.02.2018	17:09:11	1072187421,65	170016670397915332000000,00	79898,72	870,27	39,09	21,11
05.02.2018	17:09:12	1072187421,65	170016670397915332000000,00	79960,90	870,33	39,09	21,11
05.02.2018	17:09:13	1071508840,91	193989249824833621000000,00	79948,46	870,33	39,09	21,11
05.02.2018	17:09:14	1071508840,91	170016670397915332000000,00	79873,87	870,33	39,10	21,11
05.02.2018	17:09:15	1071508840,91	149429760266771240000000,00	79948,46	870,33	39,10	21,11
05.02.2018	17:09:16	1070830754,06	193989249824833621000000,00	79948,46	870,33	39,09	21,11
05.02.2018	17:09:16	1070830754,06	221998958359789498000000,00	79873,87	870,33	39,09	21,11
05.02.2018	17:09:17	1071508840,91	221998958359789498000000,00	79873,87	870,33	39,09	21,11
05.02.2018	17:09:18	1071508840,91	193989249824833621000000,00	79873,87	870,33	39,08	21,11
05.02.2018	17:09:19	1071508840,91	170016670397915332000000,00	79873,87	870,33	39,09	21,11
05.02.2018	17:09:20	1072187421,65	149429760266771240000000,00	79873,87	870,33	39,10	21,11
05.02.2018	17:09:21	1072187421,65	193989249824833621000000,00	79873,87	870,33	39,11	21,11
05.02.2018	17:09:21	1071508840,91	193989249824833621000000,00	79873,87	870,73	39,10	21,11
05.02.2018	17:09:22	1071508840,91	193989249824833621000000,00	79873,87	870,73	39,09	21,11
05.02.2018	17:09:23	1071508840,91	193989249824833621000000,00	79886,29	870,21	39,09	21,10
05.02.2018	17:09:24	1072187421,65	170016670397915332000000,00	79898,72	870,16	39,09	21,10
05.02.2018	17:09:25	1071508840,91	170016670397915332000000,00	79898,72	870,61	39,10	21,10
05.02.2018	17:09:26	1070153160,71	193989249824833621000000,00	79898,72	870,61	39,10	21,10
05.02.2018	17:09:26	1070830754,06	193989249824833621000000,00	79960,90	870,16	39,09	21,11
05.02.2018	17:09:27	1071508840,91	170016670397915332000000,00	79960,90	870,56	39,09	21,11
05.02.2018	17:09:28	1072187421,65	170016670397915332000000,00	79898,72	870,56	39,09	21,10
05.02.2018	17:09:29	1071508840,91	170016670397915332000000,00	79911,15	870,10	39,09	21,10
05.02.2018	17:09:30	1071508840,91	170016670397915332000000,00	79911,15	870,56	39,09	21,11
05.02.2018	17:09:31	1071508840,91	193989249824833621000000,00	79960,90	870,67	39,09	21,11
05.02.2018	17:09:32	1070830754,06	193989249824833621000000,00	79960,90	870,73	39,10	21,10
05.02.2018	17:09:32	1072187421,65	221998958359789498000000,00	79960,90	871,18	39,10	21,11
05.02.2018	17:09:33	1072187421,65	254841710542199041000000,00	79948,46	870,73	39,09	21,11
05.02.2018	17:09:34	1072187421,65	170016670397915332000000,00	79948,46	870,33	39,09	21,11
