ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
05.02.2018	17:00:08	1066772582,08	254841710542199041000000,00	79650,55	871,52	39,15	21,07
05.02.2018	17:00:08	1078316941,06	293494354533674608000000,00	79700,12	870,50	39,16	21,16
05.02.2018	17:00:08	1077633896,86	1500852850908934980000000,00	79973,34	869,31	39,04	21,16
05.02.2018	17:00:10	1077633896,86	254841710542199041000000,00	79960,90	0,00	39,04	21,10
05.02.2018	17:00:11	1071508840,91	221998958359789498000000,00	80023,13	870,61	39,10	21,11
05.02.2018	17:00:12	1071508840,91	170016670397915332000000,00	79960,90	870,16	39,10	21,11
05.02.2018	17:00:13	1071508840,91	170016670397915332000000,00	79960,90	870,61	39,09	21,10
05.02.2018	17:00:13	1071508840,91	170016670397915332000000,00	80023,13	870,67	39,09	21,10
05.02.2018	17:00:14	1071508840,91	170016670397915332000000,00	79948,46	870,67	39,09	21,11
05.02.2018	17:00:15	1071508840,91	193989249824833621000000,00	79873,87	871,12	39,10	21,11
05.02.2018	17:00:16	1071508840,91	221998958359789498000000,00	79873,87	870,78	39,11	21,10
05.02.2018	17:00:17	1071508840,91	170016670397915332000000,00	79936,02	870,39	39,11	21,11
05.02.2018	17:00:18	1070830754,06	170016670397915332000000,00	79948,46	870,39	39,09	21,11
05.02.2018	17:00:18	1071508840,91	254841710542199041000000,00	79886,29	870,78	39,08	21,11
05.02.2018	17:00:19	1072187421,65	221998958359789498000000,00	79873,87	870,84	39,08	21,11
05.02.2018	17:00:20	1072187421,65	170016670397915332000000,00	79948,46	870,33	39,08	21,12
05.02.2018	17:00:21	1072187421,65	170016670397915332000000,00	79948,46	870,73	39,08	21,11
05.02.2018	17:00:22	1070830754,06	149429760266771240000000,00	79873,87	870,78	39,08	21,11
05.02.2018	17:00:23	1070830754,06	170016670397915332000000,00	79886,29	870,33	39,08	21,11
05.02.2018	17:00:24	1071508840,91	170016670397915332000000,00	79886,29	870,73	39,08	21,11
05.02.2018	17:00:24	1071508840,91	170016670397915332000000,00	79960,90	870,78	39,09	21,11
05.02.2018	17:00:25	1070830754,06	193989249824833621000000,00	80035,59	870,27	39,09	21,10
05.02.2018	17:00:26	1070830754,06	193989249824833621000000,00	80023,13	870,16	39,09	21,10
