DATE	TIME	B1	B2	B3	B4	B5	B6	B7	B8	U1	U2	U3	U4	U5	U6	U7	U8
10.04.2019	12:15:08	-0.058	-1.674	-3.188	-10.816	-1.791	-0.803	-5.691	-12.304	-4.4	-127.2	-242.3	-822.0	-136.1	-61.0	-432.5	-935.1
10.04.2019	12:15:26	-0.482	-1.780	-2.933	-11.224	-2.253	-0.857	-5.587	-12.813	-36.6	-135.3	-222.9	-853.0	-171.2	-65.1	-424.6	-973.8
10.04.2019	12:15:44	-0.837	-1.876	-2.854	-11.879	-2.634	-0.983	-5.455	-13.097	-63.6	-142.6	-216.9	-902.8	-200.2	-74.7	-414.6	-995.4
10.04.2019	12:16:02	-1.121	-1.955	-2.814	-12.062	-2.899	-1.083	-5.507	-13.291	-85.2	-148.6	-213.9	-916.7	-220.3	-82.3	-418.5	-1010.1
10.04.2019	12:16:20	-1.338	-2.068	-2.858	-12.305	-3.107	-1.225	-5.538	-13.488	-101.7	-157.2	-217.2	-935.2	-236.1	-93.1	-420.9	-1025.1
10.04.2019	12:16:38	-1.436	-2.161	-2.907	-12.150	-3.271	-1.389	-5.655	-13.651	-109.1	-164.2	-220.9	-923.4	-248.6	-105.6	-429.8	-1037.5
10.04.2019	12:16:56	-1.546	-2.222	-2.997	-12.029	-3.399	-1.442	-5.717	-13.766	-117.5	-168.9	-227.8	-914.2	-258.3	-109.6	-434.5	-1046.2
10.04.2019	12:17:14	-1.634	-2.341	-3.012	-12.675	-3.430	-1.603	-5.808	-13.899	-124.2	-177.9	-228.9	-963.3	-260.7	-121.8	-441.4	-1056.3
10.04.2019	12:17:32	-1.720	-2.414	-3.103	-12.479	-3.576	-1.689	-5.917	-13.993	-130.7	-183.5	-235.8	-948.4	-271.8	-128.4	-449.7	-1063.5
10.04.2019	12:17:50	-1.780	-2.504	-3.172	-12.643	-3.649	-1.788	-5.963	-14.117	-135.3	-190.3	-241.1	-960.9	-277.3	-135.9	-453.2	-1072.9
10.04.2019	12:18:08	-1.826	-2.574	-3.274	-12.683	-3.745	-1.889	-6.005	-14.204	-138.8	-195.6	-248.8	-963.9	-284.6	-143.6	-456.4	-1079.5
10.04.2019	12:18:26	-1.864	-2.657	-3.288	-12.736	-3.737	-1.995	-6.133	-14.276	-141.7	-201.9	-249.9	-967.9	-284.0	-151.6	-466.1	-1085.0
10.04.2019	12:18:44	-1.884	-2.650	-3.371	-12.697	-3.816	-2.037	-6.145	-14.345	-143.2	-201.4	-256.2	-965.0	-290.0	-154.8	-467.0	-1090.2
10.04.2019	12:19:02	-1.953	-2.739	-3.408	-12.722	-3.855	-2.083	-6.221	-14.388	-148.4	-208.2	-259.0	-966.9	-293.0	-158.3	-472.8	-1093.5
10.04.2019	12:19:20	-1.949	-2.797	-3.451	-12.829	-3.884	-2.180	-6.264	-14.478	-148.1	-212.6	-262.3	-975.0	-295.2	-165.7	-476.1	-1100.3
10.04.2019	12:19:38	-2.030	-2.849	-3.534	-12.991	-3.945	-2.237	-6.267	-14.517	-154.3	-216.5	-268.6	-987.3	-299.8	-170.0	-476.3	-1103.3
10.04.2019	12:19:56	-2.018	-2.921	-3.542	-13.147	-3.929	-2.283	-6.332	-14.551	-153.4	-222.0	-269.2	-999.2	-298.6	-173.5	-481.2	-1105.9
10.04.2019	12:20:14	-2.091	-2.976	-3.629	-13.362	-3.992	-2.333	-6.339	-14.613	-158.9	-226.2	-275.8	-1015.5	-303.4	-177.3	-481.8	-1110.6
10.04.2019	12:20:32	-2.121	-3.021	-3.612	-12.978	-4.039	-2.359	-6.392	-14.638	-161.2	-229.6	-274.5	-986.3	-307.0	-179.3	-485.8	-1112.5
10.04.2019	12:20:50	-2.128	-3.033	-3.670	-13.383	-4.037	-2.413	-6.380	-14.728	-161.7	-230.5	-278.9	-1017.1	-306.8	-183.4	-484.9	-1119.3
10.04.2019	12:21:08	-2.129	-3.037	-3.611	-13.033	-4.091	-2.434	-6.447	-14.697	-161.8	-230.8	-274.4	-990.5	-310.9	-185.0	-490.0	-1117.0
10.04.2019	12:21:26	-2.180	-3.079	-3.695	-12.958	-4.070	-2.463	-6.451	-14.743	-165.7	-234.0	-280.8	-984.8	-309.3	-187.2	-490.3	-1120.5
10.04.2019	12:21:44	-2.243	-3.122	-3.714	-13.312	-4.114	-2.507	-6.478	-14.816	-170.5	-237.3	-282.3	-1011.7	-312.7	-190.5	-492.3	-1126.0
10.04.2019	12:22:02	-2.233	-3.143	-3.733	-12.911	-4.149	-2.499	-6.509	-14.821	-169.7	-238.9	-283.7	-981.2	-315.3	-189.9	-494.7	-1126.4
10.04.2019	12:22:20	-2.241	-3.166	-3.672	-13.391	-4.162	-2.554	-6.512	-14.871	-170.3	-240.6	-279.1	-1017.7	-316.3	-194.1	-494.9	-1130.2
10.04.2019	12:22:38	-2.259	-3.216	-3.791	-13.151	-4.086	-2.584	-6.518	-14.853	-171.7	-244.4	-288.1	-999.5	-310.5	-196.4	-495.4	-1128.8
10.04.2019	12:22:56	-2.266	-3.211	-3.774	-13.264	-4.158	-2.607	-6.561	-14.883	-172.2	-244.0	-286.8	-1008.1	-316.0	-198.1	-498.6	-1131.1
10.04.2019	12:23:14	-2.314	-3.238	-3.866	-13.482	-4.225	-2.638	-6.566	-14.904	-175.9	-246.1	-293.8	-1024.6	-321.1	-200.5	-499.0	-1132.7
10.04.2019	12:23:32	-2.292	-3.253	-3.833	-13.525	-4.166	-2.641	-6.629	-14.900	-174.2	-247.2	-291.3	-1027.9	-316.6	-200.7	-503.8	-1132.4
10.04.2019	12:23:50	-2.320	-3.241	-3.830	-13.329	-4.164	-2.664	-6.575	-14.945	-176.3	-246.3	-291.1	-1013.0	-316.5	-202.5	-499.7	-1135.8
10.04.2019	12:24:08	-2.345	-3.300	-3.825	-13.641	-4.239	-2.630	-6.618	-14.962	-178.2	-250.8	-290.7	-1036.7	-322.2	-199.9	-503.0	-1137.1
10.04.2019	12:24:26	-2.297	-3.313	-3.853	-13.296	-4.225	-2.687	-6.612	-14.939	-174.6	-251.8	-292.8	-1010.5	-321.1	-204.2	-502.5	-1135.4
10.04.2019	12:24:44	-2.343	-3.324	-3.833	-13.216	-4.224	-2.663	-6.621	-14.974	-178.1	-252.6	-291.3	-1004.4	-321.0	-202.4	-503.2	-1138.0
10.04.2019	12:25:02	-2.357	-3.350	-3.930	-13.301	-4.232	-2.725	-6.633	-14.979	-179.1	-254.6	-298.7	-1010.9	-321.6	-207.1	-504.1	-1138.4
10.04.2019	12:25:20	-2.387	-3.363	-3.909	-13.700	-4.211	-2.687	-6.609	-15.008	-181.4	-255.6	-297.1	-1041.2	-320.0	-204.2	-502.3	-1140.6
10.04.2019	12:25:38	-2.389	-3.358	-3.904	-13.683	-4.233	-2.711	-6.612	-15.000	-181.6	-255.2	-296.7	-1039.9	-321.7	-206.0	-502.5	-1140.0
10.04.2019	12:25:56	-2.363	-3.383	-3.907	-13.408	-4.225	-2.726	-6.647	-15.008	-179.6	-257.1	-296.9	-1019.0	-321.1	-207.2	-505.2	-1140.6
